"temperature_C","rr_cumulative","rr_low_95","rr_high_95","or_cumulative","or_low_95","or_high_95"
15.4,1.05583765987375,1.03025550495244,1.08205504231608,1.05583765987375,1.03025550495244,1.08205504231608
15.5,1.0547732000789,1.02930674502661,1.08086973002001,1.0547732000789,1.02930674502661,1.08086973002001
15.6,1.05371588709875,1.0283668074653,1.07968981754768,1.05371588709875,1.0283668074653,1.07968981754768
15.7,1.05266581866706,1.02743586750432,1.07851532230583,1.05266581866706,1.02743586750432,1.07851532230583
15.8,1.05162309219613,1.02651410069112,1.07734626080204,1.05162309219613,1.02651410069112,1.07734626080204
15.9,1.0505878047843,1.02560168286255,1.07618264868763,1.0505878047843,1.02560168286255,1.07618264868763
16,1.04956005322357,1.02469879012355,1.07502450079973,1.04956005322357,1.02469879012355,1.07502450079973
16.1,1.04853993400719,1.02380559882701,1.07387183120257,1.04853993400719,1.02380559882701,1.07387183120257
16.2,1.04752754333754,1.02292228555467,1.07272465322795,1.04752754333754,1.02292228555467,1.07272465322795
16.3,1.04652297713389,1.02204902709923,1.07158297951479,1.04652297713389,1.02204902709923,1.07158297951479
16.4,1.04552633104041,1.02118600044754,1.07044682204786,1.04552633104041,1.02118600044754,1.07044682204786
16.5,1.04453770043418,1.02033338276501,1.06931619219559,1.04453770043418,1.02033338276501,1.06931619219559
16.6,1.04355718043332,1.01949135138119,1.06819110074703,1.04355718043332,1.01949135138119,1.06819110074703
16.7,1.04258486590523,1.01866008377651,1.06707155794779,1.04258486590523,1.01866008377651,1.06707155794779
16.8,1.04162085147485,1.01783975757025,1.06595757353516,1.04162085147485,1.01783975757025,1.06595757353516
16.9,1.04066523153311,1.01703055050964,1.06484915677231,1.04066523153311,1.01703055050964,1.06484915677231
17,1.03971810024537,1.01623264046024,1.06374631648149,1.03971810024537,1.01623264046024,1.06374631648149
17.1,1.03877955156002,1.01544620539741,1.06264906107648,1.03877955156002,1.01544620539741,1.06264906107648
17.2,1.03784967921711,1.014671423399,1.06155739859395,1.03784967921711,1.014671423399,1.06155739859395
17.3,1.03692857675717,1.01390847263923,1.06047133672413,1.03692857675717,1.01390847263923,1.06047133672413
17.4,1.03601633752995,1.0131575313836,1.05939088284049,1.03601633752995,1.0131575313836,1.05939088284049
17.5,1.03511305470343,1.01241877798505,1.05831604402865,1.03511305470343,1.01241877798505,1.05831604402865
17.6,1.0342188212728,1.01169239088117,1.0572468271144,1.0342188212728,1.01169239088117,1.0572468271144
17.7,1.03333373006958,1.01097854859243,1.05618323869103,1.03333373006958,1.01097854859243,1.05618323869103
17.8,1.0324578737708,1.01027742972156,1.05512528514579,1.0324578737708,1.01027742972156,1.05512528514579
17.9,1.03159134490829,1.0095892129538,1.05407297268576,1.03159134490829,1.0095892129538,1.05407297268576
18,1.03073423587805,1.00891407705826,1.05302630736289,1.03073423587805,1.00891407705826,1.05302630736289
18.1,1.02988663894973,1.00825220089011,1.05198529509857,1.02988663894973,1.00825220089011,1.05198529509857
18.2,1.02904864627615,1.00760376339365,1.05094994170746,1.02904864627615,1.00760376339365,1.05094994170746
18.3,1.02822034990297,1.00696894360628,1.04992025292089,1.02822034990297,1.00696894360628,1.04992025292089
18.4,1.0274018417784,1.00634792066312,1.04889623440977,1.0274018417784,1.00634792066312,1.04889623440977
18.5,1.02659321376304,1.00574087380244,1.04787789180709,1.02659321376304,1.00574087380244,1.04787789180709
18.6,1.02579455763975,1.00514798237161,1.04686523073008,1.02579455763975,1.00514798237161,1.04686523073008
18.7,1.02500596512373,1.00456942583371,1.0458582568022,1.02500596512373,1.00456942583371,1.0458582568022
18.8,1.02422752787252,1.00400538377444,1.04485697567487,1.02422752787252,1.00400538377444,1.04485697567487
18.9,1.02345933749626,1.00345603590956,1.0438613930493,1.02345933749626,1.00345603590956,1.0438613930493
19,1.02270148556792,1.00292156209237,1.04287151469827,1.02270148556792,1.00292156209237,1.04287151469827
19.1,1.02195406363369,1.00240214232144,1.04188734648824,1.02195406363369,1.00240214232144,1.04188734648824
19.2,1.02121716322344,1.00189795674823,1.04090889440172,1.02121716322344,1.00189795674823,1.04090889440172
19.3,1.02049087586128,1.00140918568444,1.03993616456029,1.02049087586128,1.00140918568444,1.03993616456029
19.4,1.01977529307618,1.00093600960905,1.03896916324829,1.01977529307618,1.00093600960905,1.03896916324829
19.5,1.01907050641274,1.0004786091746,1.03800789693754,1.01907050641274,1.0004786091746,1.03800789693754
19.6,1.01837660744204,1.00003716521263,1.03705237231324,1.01837660744204,1.00003716521263,1.03705237231324
19.7,1.01769368777254,0.999611858737832,1.03610259630153,1.01769368777254,0.999611858737832,1.03610259630153
19.8,1.01702183906112,0.999202870950719,1.03515857609888,1.01702183906112,0.999202870950719,1.03515857609888
19.9,1.01636115302423,0.998810383238157,1.0342203192039,1.01636115302423,0.998810383238157,1.0342203192039
20,1.01571172144908,0.998434577171464,1.03328783345199,1.01571172144908,0.998434577171464,1.03328783345199
20.1,1.01507363620499,0.998075634501354,1.03236112705348,1.01507363620499,0.998075634501354,1.03236112705348
20.2,1.01444698925481,0.997733737149049,1.03144020863596,1.01444698925481,0.997733737149049,1.03144020863596
20.3,1.01383187266642,0.99740906719267,1.03052508729174,1.01383187266642,0.99740906719267,1.03052508729174
20.4,1.01322837862437,0.997101806847878,1.02961577263132,1.01322837862437,0.997101806847878,1.02961577263132
20.5,1.0126365994416,0.996812138441472,1.02871227484441,1.0126365994416,0.996812138441472,1.02871227484441
20.6,1.01205662757128,0.996540244376391,1.02781460476983,1.01205662757128,0.996540244376391,1.02781460476983
20.7,1.01148855561872,0.9962863070862,1.02692277397638,1.01148855561872,0.9962863070862,1.02692277397638
20.8,1.01093247635342,0.996050508976681,1.02603679485694,1.01093247635342,0.996050508976681,1.02603679485694
20.9,1.01038848272121,0.995833032351573,1.02515668073888,1.01038848272121,0.995833032351573,1.02515668073888
21,1.00985666785649,0.995634059318756,1.02428244601436,1.00985666785649,0.995634059318756,1.02428244601436
21.1,1.0093371250946,0.995453771672192,1.02341410629535,1.0093371250946,0.995453771672192,1.02341410629535
21.2,1.00882994798425,0.995292350743702,1.0225516785992,1.00882994798425,0.995292350743702,1.0225516785992
21.3,1.00833523030016,0.99514997721694,1.02169518157245,1.00833523030016,0.99514997721694,1.02169518157245
21.4,1.00785306605567,0.99502683089378,1.02084463576264,1.00785306605567,0.99502683089378,1.02084463576264
21.5,1.00738354951559,0.994923090400303,1.020000063951,1.00738354951559,0.994923090400303,1.020000063951
21.6,1.0069267752091,0.994838932815634,1.01916149156268,1.0069267752091,0.994838932815634,1.01916149156268
21.7,1.00648283794277,0.994774533201363,1.0183289471769,1.00648283794277,0.994774533201363,1.0183289471769
21.8,1.00605183281371,0.994730064001764,1.01750246316676,1.00605183281371,0.994730064001764,1.01750246316676
21.9,1.00563385522283,0.994705694274447,1.01668207650905,1.00563385522283,0.994705694274447,1.01668207650905
22,1.00522900088821,0.994701588696163,1.01586782981943,1.00522900088821,0.994701588696163,1.01586782981943
22.1,1.00483736585864,0.994717906266986,1.01505977268969,1.00483736585864,0.994717906266986,1.01505977268969
22.2,1.0044590465272,0.994754798604872,1.01425796343516,1.0044590465272,0.994754798604872,1.01425796343516
22.3,1.00409413964504,0.994812407676304,1.01346247140653,1.00409413964504,0.994812407676304,1.01346247140653
22.4,1.00374274393282,0.994890856125981,1.01267339004491,1.00374274393282,0.994890856125981,1.01267339004491
22.5,1.00340503974073,0.994989916789236,1.01189133355848,1.00340503974073,0.994989916789236,1.01189133355848
22.6,1.00308132586938,0.995108875587961,1.01111764852201,1.00308132586938,0.995108875587961,1.01111764852201
22.7,1.00277191060066,0.995246995156392,1.01035372081851,1.00277191060066,0.995246995156392,1.01035372081851
22.8,1.00247710242171,0.995403558186867,1.00960091272968,1.00247710242171,0.995403558186867,1.00960091272968
22.9,1.00219721007034,0.995577872137481,1.00886055825684,1.00219721007034,0.995577872137481,1.00886055825684
