"state","date","temp","deaths","Ni","rr_i","ac_i"
"North Carolina",2018-11-17,6.8,98,86.25,1.00359456142165,0.308920488945748
"North Carolina",2018-11-24,7.4,78,84.125,1.00378506135527,0.317217598438647
"North Carolina",2018-12-01,7.38571428571429,88,85.5,1.00378052522236,0.322017511188515
"North Carolina",2018-12-08,8.32857142857143,86,86,1.00407995396885,0.349450300182077
"North Carolina",2018-12-15,4.61428571428571,93,86.125,1.00290090306254,0.249117610223151
"North Carolina",2018-12-22,9.35714285714286,86,84.125,1.00440670538038,0.36908762968057
"North Carolina",2018-12-29,7.97142857142857,81,85.25,1.00396652348173,0.336810161403643
"North Carolina",2019-01-05,12.0857142857143,80,85.625,1.00527401953821,0.449218734575878
"North Carolina",2019-01-12,5.85714285714286,81,88.625,1.00329527742507,0.291084756769053
"North Carolina",2019-01-19,4.64285714285714,89,87.375,1.00290996739873,0.253520664595086
"North Carolina",2019-01-26,3.77142857142857,92,89,1.00263354199738,0.233769595718565
"North Carolina",2019-02-02,3.31428571428571,87,91.125,1.00248856241963,0.226207319454103
"North Carolina",2019-02-09,12.6285714285714,77,91.875,1.0054466634903,0.49770139614765
"North Carolina",2019-02-16,8.18571428571429,95,93.75,1.00403458023621,0.376721982081057
"North Carolina",2019-02-23,6.52857142857143,84,92.5,1.00350839475759,0.323391928530292
"North Carolina",2019-03-02,9.75714285714286,104,95.25,1.00453380408822,0.429895776175707
"North Carolina",2019-03-09,4.6,71,92.375,1.00289637092517,0.266779571618133
"North Carolina",2019-03-16,13.0285714285714,102,92.75,1.00557389379557,0.514113038065658
"North Carolina",2019-03-23,8.05714285714286,109,90.625,1.00399374562993,0.360493478458409
"North Carolina",2019-03-30,11.4142857142857,93,86.875,1.00506052723599,0.437419729173249
"North Carolina",2019-04-06,11.1428571428571,92,87.375,1.00497423470697,0.432472537614752
"North Carolina",2019-04-13,18.1428571428571,85,87.75,1.00720204371512,0.627460339209512
"North Carolina",2019-04-20,17.4571428571429,106,88.25,1.00698359134636,0.612027784377255
"North Carolina",2019-04-27,18.1,81,87.75,1.00718838905379,0.62627920091743
"North Carolina",2019-05-04,21.6714285714286,74,88.75,1.00832691279304,0.732910627501678
"North Carolina",2019-05-11,21.1428571428571,85,91.375,1.00815833017288,0.739434865770438
"North Carolina",2019-05-18,20.2428571428571,79,89.75,1.00787134894056,0.70093625357792
"North Carolina",2019-05-25,25.3285714285714,97,91,1.00949409480115,0.855837227135883
"North Carolina",2019-06-01,26.8714285714286,95,87.125,1.00998690484061,0.861505312661191
"North Carolina",2019-06-08,23.4857142857143,89,87.25,1.00890577571765,0.770169970344419
"North Carolina",2019-06-15,21.2285714285714,102,87.625,1.00818566598023,0.711445327701773
"North Carolina",2019-06-22,25.6142857142857,89,85.875,1.00958533777435,0.815325709054829
"North Carolina",2019-06-29,26.8285714285714,95,82.75,1.00997321242485,0.817133878407632
"North Carolina",2019-07-06,28.0571428571429,72,82,1.01036580196517,0.841275268314256
"North Carolina",2019-07-13,26.5285714285714,89,83.125,1.00987737071198,0.813025882394612
"North Carolina",2019-07-20,29.3714285714286,66,81.25,1.01078595042118,0.867006977447172
"North Carolina",2019-07-27,25.4142857142857,96,82.75,1.00952146682722,0.78047015922187
"North Carolina",2019-08-03,25.9142857142857,92,82.875,1.00968115177204,0.794632495317351
"North Carolina",2019-08-10,25.9428571428571,88,84,1.00969027738891,0.806171277367448
"North Carolina",2019-08-17,26.6714285714286,64,85.5,1.00992300848853,0.840081093943177
"North Carolina",2019-08-24,26.0142857142857,89,85.375,1.00971309179193,0.821278062527575
"North Carolina",2019-08-31,23.3428571428571,81,84.125,1.0088601839092,0.73881691759615
"North Carolina",2019-09-07,25.2,74,86,1.00945303815359,0.805348293067463
"North Carolina",2019-09-14,25.4857142857143,78,86.25,1.00954427741589,0.81541141437365
"North Carolina",2019-09-21,22.3,97,86,1.00852742611731,0.727157861152238
"North Carolina",2019-09-28,25.2571428571429,101,86.125,1.00947128534635,0.808061073450814
"North Carolina",2019-10-05,25.5857142857143,100,85.25,1.00957621310593,0.808628567791596
"North Carolina",2019-10-12,19.3285714285714,63,82.375,1.00757989609755,0.619696704403901
"North Carolina",2019-10-19,15.9428571428571,79,85.25,1.00650134353002,0.550659509295962
"North Carolina",2019-10-26,16.4714285714286,96,86.375,1.00666964907152,0.572274071324486
"North Carolina",2019-11-02,16.9571428571429,76,83.25,1.00682433303106,0.564274924827973
"North Carolina",2019-11-09,10.3142857142857,76,86,1.00471086123367,0.403234484394753
"North Carolina",2019-11-16,5.78571428571429,98,88.875,1.00327260803216,0.289904295731246
"North Carolina",2019-11-23,8.6,94,88.625,1.00416616971008,0.367694911154876
"North Carolina",2019-11-30,9.37142857142857,77,87,1.00441124434302,0.382092753346185
"North Carolina",2019-12-07,7.48571428571429,86,88.5,1.00381227858319,0.336105327470897
"North Carolina",2019-12-14,7.88571428571429,88,89.75,1.00393930207163,0.352165076314237
"North Carolina",2019-12-21,6.75714285714286,71,91.625,1.00358095566704,0.326934325666344
"North Carolina",2019-12-28,9,98,95.375,1.00429323798029,0.40771714563522
"North Carolina",2020-01-04,12.3571428571429,99,96,1.00536033780838,0.511848747411112
"North Carolina",2020-01-11,8.5,96,95.375,1.0041344051547,0.392695330032324
"North Carolina",2020-01-18,13.5571428571429,81,94.75,1.00574204425042,0.540952519422965
"North Carolina",2020-01-25,4.44285714285714,89,95.5,1.00284651876581,0.271070933634932
"North Carolina",2020-02-01,5.1,96,96.375,1.00305500791994,0.293529652869565
"North Carolina",2020-02-08,12.2714285714286,103,94.875,1.00533307860658,0.503291738396737
"North Carolina",2020-02-15,10.3,101,91.875,1.00470632091704,0.430367785343228
"North Carolina",2020-02-22,5.9,103,90.125,1.00330887930668,0.297229251794332
"North Carolina",2020-02-29,8.28571428571428,94,91,1.00406634163376,0.368538485285786
"North Carolina",2020-03-07,9.44285714285714,91,91.25,1.00443393946393,0.402810936774556
"North Carolina",2020-03-14,14.6571428571429,87,92.625,1.00609206913175,0.560861098741347
"North Carolina",2020-03-21,15.7714285714286,96,93.25,1.00644676399223,0.597310025510877
"North Carolina",2020-03-28,13.8142857142857,84,92.375,1.0058238573409,0.534863851099618
"North Carolina",2020-04-04,15.1428571428571,79,93.625,1.00624666434087,0.58121330449032
"North Carolina",2020-04-11,17.1714285714286,87,94,1.00689258351037,0.643467695149522
"North Carolina",2020-04-18,15.2857142857143,110,96,1.0062921380407,0.600268281021553
"North Carolina",2020-04-25,15.3714285714286,96,93.75,1.006319423247,0.588725523646191
