"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2021 Week 16 ending April 24, 2021","2021/16","Diseases of the genitourinary system","N00-N99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 17 ending May 01, 2021","2021/17","Diseases of the circulatory system","I00-I99",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 17 ending May 01, 2021","2021/17","Diseases of the genitourinary system","N00-N99",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 18 ending May 08, 2021","2021/18","Diseases of the circulatory system","I00-I99",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 18 ending May 08, 2021","2021/18","Diseases of the genitourinary system","N00-N99",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 19 ending May 15, 2021","2021/19","Diseases of the circulatory system","I00-I99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 19 ending May 15, 2021","2021/19","Diseases of the genitourinary system","N00-N99",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 20 ending May 22, 2021","2021/20","Diseases of the circulatory system","I00-I99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 20 ending May 22, 2021","2021/20","Diseases of the genitourinary system","N00-N99",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 21 ending May 29, 2021","2021/21","Diseases of the circulatory system","I00-I99",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 21 ending May 29, 2021","2021/21","Diseases of the genitourinary system","N00-N99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
